Job_title,Employer,City,Contract,Position,Mode,Recrutation,Required_technologies,Optional_technologies,Responsibilities,Requirement
Data Scientist & Junior Data Scientist ,Empik S.A.,Warszawa,"['umowa o pracę', 'kontrakt B2B']","['specjalista (Mid / Regular)', 'młodszy specjalista (Junior)']",['praca hybrydowa'],['rekrutacja zdalna'],"['Python', 'Git', 'Docker', 'ML', 'AI']","['PySpark', 'Azure']","['Budowę, wdrożenie i rozwój produktów Data Science w całej Grupie Empik z wykorzystaniem najnowszych narzędzi i technologii;', 'Dbanie o jakość rozwiązań\xa0i stosowanie\xa0dobrych\xa0praktyk;', 'Identyfikowanie potencjału zastosowania zaawansowanej analityki danych;', 'Współpracę z interesariuszami biznesowymi oraz technicznymi w firmie, w celu\xa0określania zakresu i celu projektów oraz i ich wdrożeń;', 'Interpretację biznesową wyników modeli oraz wypracowywanie rekomendacji biznesowych.']","['Posiadasz przynajmniej 1-2 letnie doświadczenie (stanowisko Data', 'Scientist) lub zdobyłeś/aś pierwsze doświadczenia w obszarze Data', 'Science (stanowisko Junior Data Scientist);', 'Ukończyłeś(aś) kierunek związany z Data Science (np. metody ilościowe / ekonometria, statystyka, informatyka, matematyka, fizyka itp.);', 'Masz praktyczne doświadczenie w stosowaniu\u202fML/AI w rozwiązaniach biznesowych;', 'Posiadasz doświadczenie w pracy z\xa0Python, dbasz o jakość rozwiązań;', 'MLOps\xa0nie są Ci obce (Git, Docker, CI/CD);', 'Umiesz myśleć analitycznie i potrafisz skutecznie komunikować złożone pomysły;', 'Jesteś zaangażowany(na), samodzielny(na)\xa0i potrafisz współpracować z innymi.', 'Doświadczenia pracy z Spark (PySpark, MLlib);', 'Znajomość chmury Azure;', 'Doświadczenie w stosowaniu współczesnych metod predykcji szeregów czasowych.']"
Junior Release Engineer,Hitachi Energy Services Sp. z o.o. ,Kraków,['contract of employment'],['junior specialist (Junior)'],['home office work'],['remote recruitment'],['Azure DevOps'],,"['Build, develop and maintain the Continuous Delivery toolchain, to achieve reliable and stable releases.', 'Develop and document the continuous deployment build and release process.', 'Interact with various global product teams to meet their specific needs.', 'Troubleshoot build and release issues, administrate servers daily.', 'Help implement process and tools improvements.', 'Develop and extend dashboard solutions.']","[""Bachelor's degree (B. S.) from four-year college or university in computer science, information sciences, or a related field."", 'Build pipeline scripting (Python, YAML, etc).', 'Version control systems – GIT, TFVC.', 'Build management - Jenkins, Azure DevOps, MSBuild, CMake.', 'Management of servers running Linux and Windows.', 'Familiarity with Windows and Linux based systems and technologies as well as system administration.', 'Good communication in English to explain and document your ideas and plans for different audiences.', 'Experience in working in a globally distributed team is a plus.', 'Experience in managing containerization and dockers is a plus.']"
Junior IT Systems Administrator,Hitachi Energy Services Sp. z o.o. ,Kraków,['contract of employment'],['junior specialist (Junior)'],['home office work'],['remote recruitment'],['Azure DevOps'],,"['Build, develop and maintain the Continuous Delivery toolchain, to achieve reliable and stable releases.', 'Develop and document the continuous deployment build and release process.', 'Interact with various global product teams to meet their specific needs.', 'Troubleshoot build and release issues, administrate servers daily.', 'Help implement process and tools improvements.', 'Develop and extend dashboard solutions.']","[""Bachelor's degree (B. S.) from four-year college or university in computer science, information sciences, or a related field."", 'Build pipeline scripting (Python, YAML, etc).', 'Version control systems – GIT, TFVC.', 'Build management - Jenkins, Azure DevOps, MSBuild, CMake.', 'Management of servers running Linux and Windows.', 'Familiarity with Windows and Linux based systems and technologies as well as system administration.', 'Good communication in English to explain and document your ideas and plans for different audiences.', 'Experience in working in a globally distributed team is a plus.', 'Experience in managing containerization and dockers is a plus.']"
DevOps Engineer,Icotera Sp. z o.o.,Szczecin,['umowa o pracę'],"['specjalista (Mid / Regular)', 'młodszy specjalista (Junior)']",['praca hybrydowa'],['rekrutacja zdalna'],,"['SVN', 'Git', 'Bash', 'Perl', 'Ruby', 'CShell']","[""Jako DevOps Engineer będziesz pracował z niesamowitym zespołem developerskim, tworzącym produkty dostępu do sieci - router'y, access point'y, switch'e - zapewniające użytkownikom najlepsze doświadczenia internetowe.""]","['Praktyczna wiedza z Linux’a - poziom zależny od Twojego doświadczenia,', 'Znajomość zagadnień sieciowych - model ISO/OSI model, znajomość protokołów sieciowych - poziom zależny od Twojego doświadczenia,', 'Znajomość co najmniej jednego języka programowania, np: Bash, CShell, Python, Perl, Ruby - poziom zależny od Twojego doświadczenia,', 'Doświadczenie z systemami kontroli wersji - svn, git - poziom zależny od Twojego doświadczenia,', 'Nastawienie na cel i wartości biznesowe,', 'Chęć zdobywania nowej wiedzy i nastawienie na ciągły rozwój,', 'Język angielski co najmniej na poziomie B1 - angielski na poziomie użytkowym jest przez nas używany na co dzień, komunikujemy się najczęściej przez chata, maila, piszemy też dużo dokumentacji technicznej, wszystkie zadania opisujemy po angielsku.']"
Młodszy Administrator systemów teleinformatycznych (Linux),KIR S.A.,Warszawa,['umowa o pracę'],['młodszy specjalista (Junior)'],['praca hybrydowa'],['rekrutacja zdalna'],"['Red Hat Enterprise Linux', 'Ansible', 'Bash', 'Python']",['technologie wirtualizacyjne'],"['Zapewnienie sprawnej pracy środowisk produkcyjnych i testowych działających pod kontrolą systemów Red Hat Linux.', 'Tworzenie i aktualizacja procedur administracyjnych oraz dokumentacji technicznej.', 'Tworzenie skryptów automatyzujących zadania administracyjne (bash, python, Ansible).', 'Pełnienie dyżurów telefonicznych (maksymalnie jeden tydzień w miesiącu).']","['Praktyczne doświadczenie z w/w technologiami.', 'Wykształcenie średnie bądź wyższe (preferowane techniczne).', 'Praktyczna znajomość systemów operacyjnych Red Hat Enterprise Linux.', 'Gotowość do podnoszenia kwalifikacji.', 'Dobra, praktyczna znajomość języka angielskiego.', 'Doświadczenie w pracy z technologiami wirtualizacyjnymi.']"
Tester Oprogramowania,ZF Group,Częstochowa,['umowa o pracę'],"['specjalista (Mid / Regular)', 'młodszy specjalista (Junior)']",['praca hybrydowa'],['rekrutacja zdalna'],"['Python', 'C', 'C++']",,"['Przygotowywanie przypadków testowych w oparciu o wymagania;', 'Testowanie oprogramowania dla aktywnych systemów bezpieczeństwa wspomagających kierowcę tj: kamery, radary, lidary i inne;', 'Wyszukiwanie błędów w oprogramowaniu;', 'Dostarczanie informacji na temat testowanego oprogramowania, raportowanie niezgodności.']","['Wykształcenie wyższe w tym studenci ostatnich lat (preferowane kierunki: Elektronika, Elektrotechnika, Informatyka lub pokrewne);', 'Znajomość dowolnego języka programowania (m.in. Python, C, C++);', 'Podstawowa wiedza z zakresu elektroniki i elektrotechniki;', 'Język angielski na poziomie komunikatywnym;', 'Mile widziana znajomość magistrali komunikacyjnych wykorzystywanych w branży automotive.']"
Młodszy Tester systemów wbudowanych (Python),ZF Group,Częstochowa,['umowa o pracę'],['młodszy specjalista (Junior)'],['praca hybrydowa'],['rekrutacja zdalna'],['Python'],,"['Implementacja i wykonywanie testów systemów wbudowanych ADAS (kamery i radary);', 'Tworzenie skryptów testowych w środowisku Python;', 'Raportowanie statusu testów oraz tworzenie niezbędnej dokumentacji;', 'Analiza wymagań systemowych oraz błędów wykrytych w procesie testowania.']","['Wykształcenie wyższe, preferowane: elektronika, informatyka, mechatronika, automatyka, matematyka bądź pokrewne (możliwe też zatrudnienie studentów ostatnich lat);', 'Umiejętność programowania, preferowany język Python;', 'Podstawowa wiedza z zakresu elektroniki i sprzętu laboratoryjnego (oscyloskop, multimetr);', 'Dobre zdolności komunikacyjne w mowie i piśmie, również w języku angielskim;', 'Umiejętność szybkiego uczenia się i adaptacji do dynamicznego środowiska pracy.']"
System Test and Validation Engineer,ZF Group,Bielsko-Biała,['contract of employment'],"['specialist (Mid / Regular)', 'junior specialist (Junior)']",['hybrid work'],['remote recruitment'],"['C', 'C#', 'Python']",,"['System testing for electro-mechanical steering systems (EPS)', 'Analysis of technical specifications, i.e. system requirements and corresponding documentation', 'Development of test suites and test cases according to verification criteria', 'Design, development and maintenance of SW and System Test and Validation team infrastructure', 'Execution of test cases for microcontroller systems using variety of methods & tools', 'Working with tools supporting verification of embedded systems, e.g. test design and automation frameworks (dSPACE, Vector), various laboratory equipment', 'Strong interaction and communication with engineering centers worldwide']","['Master’s or bachelor’s degree in engineering with background in electronics, computer science, telecommunication, mechatronics, biomedical engineering or similar', 'English language skills on at least communicative level', 'Basic understanding of electronic circuits and embedded systems', 'Experience with scripting languages is an advantage (C/C#, Python, bash, make etc.)', 'Ability to work with various laboratory equipment – test stations, power supplies, oscilloscopes etc.', 'Experience with electronics system testing - test design, system level problem investigation - nice to have', 'Experience within automotive industry is an advantage (including AUTOSAR, ISO 26262 or Automotive SPICE) - nice to have']"
Junior IT Specialist ,Dealavo Sp. z o.o.,Warszawa,"['umowa zlecenie', 'kontrakt B2B']",['młodszy specjalista (Junior)'],['praca hybrydowa'],,"['Python', 'SQL']","['JIRA', 'G-Suite']","['dbanie o jakość danych, które zbieramy, wytwarzamy i dostarczamy naszym Klientom,', 'realizowanie założonych poziomów SLA,', 'tworzenie i aktualizacja konfiguracji crawlerów do rozmaitych stron internetowych,', 'tworzenie i utrzymywanie kont naszych Klientów', 'implementowanie kodu w języku Python,', 'odpytywanie, analiza i przekształcanie danych zawartych w bazach danych SQL,', 'używanie i samodzielne rozwijanie rozbudowanego panelu wewnętrznego do obsługi systemu.', 'Nie będziesz mieć kontaktu z klientem, podczas wykonywania swoich obowiązków będziesz współpracować z działami Developerów, Customer Success oraz SALES.']","['Jeśli jesteś osobą komunikatywną, dokładną, zaangażowaną, potrafiącą zarządzać swoją pracą i szukasz miejsca gdzie zdobędziesz swoje pierwsze doświadczenie w programowaniu, to szukamy właśnie Ciebie!', 'Warunkiem koniecznym jest dla nas podstawowa znajomość języka Python i praktyczna znajomości podstaw SQL', 'Jeśli jesteś gotowy/a na pracę wymagającą proaktywnego szukania rozwiązań, otwartości na naukę i ukierunkowaną na dążenie do wspólnego zespołowego celu, to prześlij nam swoją aplikację!', 'wykształcenie wyższe w dziedzinie technicznej,', 'doświadczenie w programowaniu i inne umiejętności informatyczne,', 'znajomość specyfiki protokołu HTTP(S) oraz przebiegu informacji od serwera do okna przeglądarki internetowej.']"
Intern in Account Payable Team (VBA),OERLIKON BUSINESS SERVICES EUROPE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Warszawa,['contract of employment'],['junior specialist (Junior)'],"['home office work', 'hybrid work']",['remote recruitment'],,,"['Assist in the day-to-day operations of Accounts Payable team through preparation of analyses & reports', 'implementation and supervision of macros within Accounts Payable process', 'Develop model validations', 'Identify improvements in controlling tools, standardization and automation', 'Work in environments such as Excel and VBA or Python(?)', 'Study, implement and prepare presentations about financial models and concepts']","['Student in Finance, Mathematics, Statistics, IT or related area', 'Good knowledge of VBA and MS Office (Excel required)', 'An interest in quantitative analytics and financial modelling', 'Good written and verbal communication skills in English', 'A logical and innovative mind-set', 'Good written and verbal communication skills in English', 'Experience in Finance and/or Accounting will be an advantage', 'Availability of not less than 24 hours per week (limited to a maximum of 40 hours per week)']"
Junior BI Developer in Risk,Citi Poland,Warszawa,['contract of employment'],['junior specialist (Junior)'],['hybrid work'],,,,"['Programming in Python and VBA.', 'Programming in HTML, JavaScript, CSS.', 'Building interactive Dashboards in Tableau.', 'Preparation of standard reports.', 'Designing IT solutions.', 'Creating documentation.']","['General Python and/or VBA knowledge.', 'Basic knowledge of HTML, JavaScript, CSS is a plus.', 'Good interpersonal skills.', 'Good English.']"
Młodszy Operator ds. Monitoringu Infrastruktury ,Aplitt Sp. z o.o.,Gdynia,"['umowa o pracę', 'umowa zlecenie']",['młodszy specjalista (Junior)'],['praca hybrydowa'],,,"['C', 'Python', 'Bash', 'PHP']","['Będziesz monitorować infrastrukturę IT', 'Realizować zgłoszenia od naszych Klientów i innych pracowników organizacji', 'Podejmować i koordynować akcje naprawcze na podstawie bazy incydentów i problemów', 'Badać dostępność i wydajność systemów, usług i aplikacji', 'Pisać skrypty monitorujące infrastrukturę lub generujące raporty', 'Pracować nad wdrażaniem monitoringu nowych technologii']","['Jesteś gotowy podjąć współpracę w formie umowy zlecenia lub umowy o pracę', 'Odpowiada Ci praca w zmianach 12-godzinnych w systemie 24h/7d', 'Jesteś studentem kierunków technicznych (informatyka, elektronika, telekomunikacja, automatyka, elektrotechnika)', 'NIE JESTEŚ studentem, ale uważasz że Twoja wiedza jest spora', 'Pasjonuje Cię administrowanie systemami operacyjnymi, znasz się na rzeczy i chcesz dalej rozwijać się w tym kierunku', 'Potrafisz czytać ze zrozumieniem dokumentację w języku polskim i angielskim', 'Potrafisz samodzielnie podejmować trafne i szybkie decyzje', 'Cechuje Cię zaangażowanie, komunikatywność, umiejętność pracy zespołowej, dokładność w wykonywanych obowiązkach', 'Znajomość Bash/PHP/Python/C oraz orientowanie się w obecnych trendach IT']"
Junior Embedded Tester ,AIUT Sp. z o.o.,Gliwice,"['umowa o pracę', 'kontrakt B2B']","['specjalista (Mid / Regular)', 'młodszy specjalista (Junior)']","['praca stacjonarna', 'praca hybrydowa']",,"['IoT', 'Jira', 'Confluence', 'Xray', 'C', 'C++', 'C#', 'Python', 'SQL', 'GSM', 'ISM']",,"['weryfikacja sprzętu i oprogramowania urządzeń IoT', 'analiza wymagań, przygotowywanie scenariuszy i przypadków testowych', 'praca z narzędziami wspomagającymi proces testowy (Jira, Confluence, Xray)', 'testowanie oprogramowania współpracującego z urządzeniami', 'przygotowanie prototypów i środowiska testowego']","['wykształcenie wyższe na kierunku informatyka, automatyka, elektronika lub pokrewnym', 'praktyczna znajomość podstaw elektroniki', 'znajomość podstaw programowania w jednym z wybranych języków (C, C++, C#, Python)', 'znajomość języka angielskiego umożliwiająca czytanie dokumentacji technicznej i swobodną komunikację', 'komunikatywność i umiejętność pracy w zespole', 'zdolność szybkiego uczenia się i chęć podnoszenia własnych umiejętności i kompetencji', 'znajomość języków skryptowych i SQL', 'znajomość GSM (2G/3G/4G/5G) i tematyki komunikacji radiowej w pasmach ISM']"
Technical Account Manager New Products (APAC) ,RTB House,Warszawa,"['contract of mandate', 'B2B contract']","['specialist (Mid / Regular)', 'junior specialist (Junior)']","['home office work', 'hybrid work']",['remote recruitment'],"['HTML', 'JavaScript', 'Python']","['Google Analytics', 'Google Tag Manager', 'MS Excel', 'HTTP protocol', 'Google Chrome’s debugging console']","['Ensuring technical issues/tickets are responded to within the agreed SLA (Service Level Agreement);', 'Leading the integration between RTB House’ tags and client’s websites/mobile apps to ensure proper tags installation (Google Tag Manager, Appsflyer);', 'Optimizing daily campaigns to meet various client marketing goals;', 'Working closely with Sales & Account Managers to deliver client success and satisfaction, meeting goals, and instantly responding to technical issues;', 'Communicating with Business & Technical Teams (through tickets, emails, and calls).']","['Basic knowledge of HTML, JavaScript or Python;', 'Familiarity with the HTTP protocol;', 'Understanding of Excel (Lookup/Pivot table, standard formulas);', 'Experience in e-commerce or digital advertising (e.g., programmatic, AdTech, AdOps), Google Analytics, Google Tag Manager, Google Chrome’s debugging console, Appsflyer / Branch is a big plus.']"
